file,steps,is_success,init_x,init_y,init_theta
demo_20251222_210011.pkl,111,True,8.110154333185855,9.826531543951184,0.12139098001057924
demo_20251222_210035.pkl,180,True,8.673029099258407,9.035095618450075,-0.44712298087269126
demo_20251222_210117.pkl,111,True,8.068042687086711,9.67874625026408,0.18841578857326347
demo_20251222_210138.pkl,116,True,8.96736145634627,9.965191392616376,0.3586691958084417
demo_20251222_210153.pkl,106,True,8.285811966450284,9.663204982547784,0.2532164840140082
demo_20251222_210222.pkl,106,True,8.25663326986111,9.259764516742262,0.08150192340033768
demo_20251222_210242.pkl,156,True,8.244610838016683,9.703181099735602,-0.2593097094426878
demo_20251222_210258.pkl,125,True,8.993279820736221,9.644797041336869,-0.12145937461660383
demo_20251222_210312.pkl,114,True,8.88931285176679,9.07393708779174,0.06526047712330918
demo_20251222_210328.pkl,122,True,8.885689725704438,9.924878314004957,0.0836291269543249
demo_20251222_210342.pkl,118,True,8.567167210278448,9.134087688798527,-0.21422275936132434
demo_20251222_210356.pkl,114,True,8.486210970725075,9.616553109638204,0.3062690996687746
demo_20251222_210409.pkl,108,True,8.634751124942127,9.1499628664075,0.0579449882083074
demo_20251222_210429.pkl,157,True,8.86321544981813,9.588915513080611,-0.24040036809078574
demo_20251222_210443.pkl,115,True,8.007519165722554,9.218082027753505,-0.12104079022272352
demo_20251222_210500.pkl,145,True,8.1230934849047,9.171511204702364,-0.19261909539158734
demo_20251222_210515.pkl,116,True,8.727277866061348,9.769541553673346,0.1744290888687101
